Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Transaction,Customer Name,Segment,Country,City,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Rating
1,CA-2013-152156,09-11-2013,12-11-2013,Second Class,CG-12520,$261.96,Claire Gute,Consumer,United States,Henderson,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,$261.96,2,0.0,$41.91,3.5
2,CA-2013-152156,09-11-2013,12-11-2013,Second Class,CG-12520,$731.94,Claire Gute,Consumer,United States,Henderson,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",$731.94,3,0.0,$219.58,4.4
3,CA-2013-138688,13-06-2013,17-06-2013,Second Class,DV-13045,$14.62,Darrin Van Huff,Corporate,United States,Los Angeles,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,$14.62,2,0.0,$6.87,4.3
4,US-2012-108966,11-10-2012,18-10-2012,Standard Class,SO-20335,$957.58,Sean O'Donnell,Consumer,United States,Fort Lauderdale,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$957.58,5,0.45,$-383.03,4.4
5,US-2012-108966,11-10-2012,18-10-2012,Standard Class,SO-20335,$22.37,Sean O'Donnell,Consumer,United States,Fort Lauderdale,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,$22.37,2,0.2,$2.52,4.2
6,CA-2011-115812,09-06-2011,14-06-2011,Standard Class,BH-11710,$48.86,Brosina Hoffman,Consumer,United States,Los Angeles,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",$48.86,7,0.0,$14.17,3
7,CA-2011-115812,09-06-2011,14-06-2011,Standard Class,BH-11710,$7.28,Brosina Hoffman,Consumer,United States,Los Angeles,OFF-AR-10002833,Office Supplies,Art,Newell 322,$7.28,4,0.0,$1.97,4.2
8,CA-2011-115812,09-06-2011,14-06-2011,Standard Class,BH-11710,$907.15,Brosina Hoffman,Consumer,United States,Los Angeles,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,$907.15,6,0.2,$90.72,4.0
9,CA-2011-115812,09-06-2011,14-06-2011,Standard Class,BH-11710,$18.50,Brosina Hoffman,Consumer,United States,Los Angeles,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,$18.50,3,0.2,$5.78,3.9
10,CA-2011-115812,09-06-2011,14-06-2011,Standard Class,BH-11710,$114.90,Brosina Hoffman,Consumer,United States,Los Angeles,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,$114.90,5,0.0,$34.47,4.3
11,CA-2011-115812,09-06-2011,14-06-2011,Standard Class,BH-11710,$1706.18,Brosina Hoffman,Consumer,United States,Los Angeles,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables,$1706.18,9,0.2,$85.31,4.2
12,CA-2011-115812,09-06-2011,14-06-2011,Standard Class,BH-11710,$911.42,Brosina Hoffman,Consumer,United States,Los Angeles,TEC-PH-10002033,Technology,Phones,Konftel 250 ConferenceÃÂ phoneÃÂ - Charcoal black,$911.42,4,0.2,$68.36,4.6
13,CA-2014-114412,16-04-2014,21-04-2014,Standard Class,AA-10480,$15.55,Andrew Allen,Consumer,United States,Concord,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,$15.55,3,0.2,$5.44,4.3
14,CA-2013-161389,06-12-2013,11-12-2013,Standard Class,IM-15070,$407.98,Irene Maddox,Consumer,United States,Seattle,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,$407.98,3,0.2,$132.59,4.3
15,US-2012-118983,22-11-2012,26-11-2012,Standard Class,HP-14815,$68.81,Harold Pawlan,Home Office,United States,Fort Worth,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",$68.81,5,0.8,$-123.86,3.8
16,US-2012-118983,22-11-2012,26-11-2012,Standard Class,HP-14815,$2.54,Harold Pawlan,Home Office,United States,Fort Worth,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,$2.54,3,0.8,$-3.82,3.8
17,CA-2011-105893,11-11-2011,18-11-2011,Standard Class,PK-19075,$665.88,Pete Kriz,Consumer,United States,Madison,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",$665.88,6,0.0,$13.32,3.8
18,CA-2011-167164,13-05-2011,15-05-2011,Second Class,AG-10270,$55.50,Alejandro Grove,Consumer,United States,West Jordan,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,$55.50,2,0.0,$9.99,4.3
19,CA-2011-143336,27-08-2011,01-09-2011,Second Class,ZD-21925,$8.56,Zuschuss Donatelli,Consumer,United States,San Francisco,OFF-AR-10003056,Office Supplies,Art,Newell 341,$8.56,2,0.0,$2.48,4.5
20,CA-2011-143336,27-08-2011,01-09-2011,Second Class,ZD-21925,$213.48,Zuschuss Donatelli,Consumer,United States,San Francisco,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,$213.48,3,0.2,$16.01,4.1
21,CA-2011-143336,27-08-2011,01-09-2011,Second Class,ZD-21925,$22.72,Zuschuss Donatelli,Consumer,United States,San Francisco,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",$22.72,4,0.2,$7.38,4.1
22,CA-2013-137330,10-12-2013,14-12-2013,Standard Class,KB-16585,$19.46,Ken Black,Corporate,United States,Fremont,OFF-AR-10000246,Office Supplies,Art,Newell 318,$19.46,7,0.0,$5.06,4.3
23,CA-2013-137330,10-12-2013,14-12-2013,Standard Class,KB-16585,$60.34,Ken Black,Corporate,United States,Fremont,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",$60.34,7,0.0,$15.69,4.5
24,US-2014-156909,17-07-2014,19-07-2014,Second Class,SF-20065,$71.37,Sandra Flanagan,Consumer,United States,Philadelphia,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",$71.37,2,0.3,$-1.02,4.2
25,CA-2012-106320,25-09-2012,30-09-2012,Standard Class,EB-13870,$1044.63,Emily Burns,Consumer,United States,Orem,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,$1044.63,3,0.0,$240.26,4.1
26,CA-2013-121755,16-01-2013,20-01-2013,Second Class,EH-13945,$11.65,Eric Hoffmann,Consumer,United States,Los Angeles,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,$11.65,2,0.2,$4.22,4.1
27,CA-2013-121755,16-01-2013,20-01-2013,Second Class,EH-13945,$90.57,Eric Hoffmann,Consumer,United States,Los Angeles,TEC-AC-10003027,Technology,Accessories,ImationÃÂ 8GB Mini TravelDrive USB 2.0ÃÂ Flash Drive,$90.57,3,0.0,$11.77,3.8
28,US-2012-150630,17-09-2012,21-09-2012,Standard Class,TB-21520,$3083.43,Tracy Blumstein,Consumer,United States,Philadelphia,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",$3083.43,7,0.5,$-1665.05,4.3
